year,week,state,state_name,disease,cases,incidence_per_capita
1928,06,LA,LOUISIANA,POLIO,0,0
1928,06,MA,MASSACHUSETTS,POLIO,2,0.05
1928,06,MD,MARYLAND,POLIO,0,0
1928,06,ME,MAINE,POLIO,0,0
1928,06,MI,MICHIGAN,POLIO,3,0.06
1928,06,MN,MINNESOTA,POLIO,0,0
1928,06,MO,MISSOURI,POLIO,0,0
1928,06,MS,MISSISSIPPI,POLIO,0,0
1928,06,MT,MONTANA,POLIO,0,0
1928,06,NC,NORTH CAROLINA,POLIO,0,0
1928,06,ND,NORTH DAKOTA,POLIO,0,0
1928,06,NE,NEBRASKA,POLIO,1,0.07
1928,06,NH,NEW HAMPSHIRE,POLIO,0,0
1928,06,NJ,NEW JERSEY,POLIO,0,0
1928,06,NM,NEW MEXICO,POLIO,0,0
1928,06,NY,NEW YORK,POLIO,3,0.03
1928,06,OH,OHIO,POLIO,3,0.05
1928,06,OK,OKLAHOMA,POLIO,1,0.04
1928,06,OR,OREGON,POLIO,2,0.21
1928,06,PA,PENNSYLVANIA,POLIO,4,0.04
1928,06,RI,RHODE ISLAND,POLIO,0,0
1928,06,SC,SOUTH CAROLINA,POLIO,1,0.06
1928,06,SD,SOUTH DAKOTA,POLIO,2,0.29
1928,06,TN,TENNESSEE,POLIO,1,0.04
1928,06,TX,TEXAS,POLIO,0,0
1928,06,UT,UTAH,POLIO,1,0.2
1928,06,VA,VIRGINIA,POLIO,1,0.04
1928,06,VT,VERMONT,POLIO,0,0
1928,06,WA,WASHINGTON,POLIO,1,0.06
1928,06,WI,WISCONSIN,POLIO,4,0.14
1928,06,WV,WEST VIRGINIA,POLIO,0,0
1928,06,WY,WYOMING,POLIO,0,0
1928,07,AL,ALABAMA,POLIO,2,0.08
1928,07,AR,ARKANSAS,POLIO,0,0
1928,07,AZ,ARIZONA,POLIO,0,0
1928,07,CA,CALIFORNIA,POLIO,7,0.13
1928,07,CO,COLORADO,POLIO,0,0
1928,07,CT,CONNECTICUT,POLIO,0,0
1928,07,DC,DISTRICT OF COLUMBIA,POLIO,0,0
1928,07,DE,DELAWARE,POLIO,0,0
1928,07,FL,FLORIDA,POLIO,0,0
1928,07,GA,GEORGIA,POLIO,0,0
1928,07,IA,IOWA,POLIO,0,0
1928,07,ID,IDAHO,POLIO,1,0.22
1928,07,IL,ILLINOIS,POLIO,1,0.01
1928,07,IN,INDIANA,POLIO,0,0
1928,07,KS,KANSAS,POLIO,0,0
1928,07,KY,KENTUCKY,POLIO,0,0
1928,07,LA,LOUISIANA,POLIO,0,0
1928,07,MA,MASSACHUSETTS,POLIO,4,0.09
1928,07,MD,MARYLAND,POLIO,0,0
1928,07,ME,MAINE,POLIO,0,0
1928,07,MI,MICHIGAN,POLIO,0,0
1928,07,MN,MINNESOTA,POLIO,0,0
1928,07,MO,MISSOURI,POLIO,0,0
1928,07,MS,MISSISSIPPI,POLIO,0,0
1928,07,MT,MONTANA,POLIO,0,0
1928,07,NC,NORTH CAROLINA,POLIO,1,0.03
1928,07,ND,NORTH DAKOTA,POLIO,1,0.15
1928,07,NE,NEBRASKA,POLIO,0,0
1928,07,NH,NEW HAMPSHIRE,POLIO,1,0.21
1928,07,NJ,NEW JERSEY,POLIO,1,0.03
1928,07,NM,NEW MEXICO,POLIO,1,0.24
1928,07,NY,NEW YORK,POLIO,2,0.02
1928,07,OH,OHIO,POLIO,3,0.05
1928,07,OK,OKLAHOMA,POLIO,1,0.04
1928,07,OR,OREGON,POLIO,3,0.32
1928,07,PA,PENNSYLVANIA,POLIO,1,0.01
1928,07,RI,RHODE ISLAND,POLIO,0,0
1928,07,SC,SOUTH CAROLINA,POLIO,0,0
1928,07,SD,SOUTH DAKOTA,POLIO,0,0
1928,07,TN,TENNESSEE,POLIO,0,0
1928,07,TX,TEXAS,POLIO,0,0
1928,07,UT,UTAH,POLIO,2,0.4
1928,07,VT,VERMONT,POLIO,0,0
1928,07,WA,WASHINGTON,POLIO,0,0
1928,07,WI,WISCONSIN,POLIO,2,0.07
1928,07,WV,WEST VIRGINIA,POLIO,0,0
1928,07,WY,WYOMING,POLIO,0,0
1928,08,AL,ALABAMA,POLIO,3,0.11
1928,08,AR,ARKANSAS,POLIO,0,0
1928,08,AZ,ARIZONA,POLIO,0,0
1928,08,CA,CALIFORNIA,POLIO,6,0.11
1928,08,CO,COLORADO,POLIO,0,0
1928,08,CT,CONNECTICUT,POLIO,0,0
1928,08,DE,DELAWARE,POLIO,0,0
1928,08,FL,FLORIDA,POLIO,2,0.14
1928,08,GA,GEORGIA,POLIO,0,0
1928,08,IA,IOWA,POLIO,1,0.04
1928,08,ID,IDAHO,POLIO,0,0
1928,08,IL,ILLINOIS,POLIO,1,0.01
1928,08,IN,INDIANA,POLIO,0,0
1928,08,KS,KANSAS,POLIO,0,0
1928,08,KY,KENTUCKY,POLIO,0,0
1928,08,LA,LOUISIANA,POLIO,1,0.05
1928,08,MA,MASSACHUSETTS,POLIO,2,0.05
1928,08,MD,MARYLAND,POLIO,0,0
1928,08,ME,MAINE,POLIO,0,0
1928,08,MI,MICHIGAN,POLIO,1,0.02
1928,08,MN,MINNESOTA,POLIO,1,0.04
1928,08,MO,MISSOURI,POLIO,0,0
1928,08,MS,MISSISSIPPI,POLIO,1,0.05
1928,08,MT,MONTANA,POLIO,0,0
1928,08,NC,NORTH CAROLINA,POLIO,0,0
1928,08,ND,NORTH DAKOTA,POLIO,0,0
1928,08,NE,NEBRASKA,POLIO,0,0
1928,08,NJ,NEW JERSEY,POLIO,0,0
1928,08,NM,NEW MEXICO,POLIO,2,0.48
1928,08,NY,NEW YORK,POLIO,4,0.03
1928,08,OH,OHIO,POLIO,2,0.03
1928,08,OK,OKLAHOMA,POLIO,4,0.17
1928,08,OR,OREGON,POLIO,1,0.11
1928,08,PA,PENNSYLVANIA,POLIO,1,0.01
1928,08,RI,RHODE ISLAND,POLIO,0,0
1928,08,SC,SOUTH CAROLINA,POLIO,1,0.06
1928,08,SD,SOUTH DAKOTA,POLIO,1,0.15
1928,08,TN,TENNESSEE,POLIO,0,0
1928,08,TX,TEXAS,POLIO,0,0
1928,08,UT,UTAH,POLIO,0,0
1928,08,VT,VERMONT,POLIO,0,0
1928,08,WA,WASHINGTON,POLIO,1,0.06
1928,08,WI,WISCONSIN,POLIO,1,0.03
1928,08,WV,WEST VIRGINIA,POLIO,0,0
1928,08,WY,WYOMING,POLIO,0,0
1928,09,AL,ALABAMA,POLIO,0,0
1928,09,AR,ARKANSAS,POLIO,0,0
1928,09,AZ,ARIZONA,POLIO,0,0
1928,09,CA,CALIFORNIA,POLIO,8,0.15
1928,09,CO,COLORADO,POLIO,0,0
1928,09,CT,CONNECTICUT,POLIO,1,0.06
1928,09,DC,DISTRICT OF COLUMBIA,POLIO,0,0
1928,09,DE,DELAWARE,POLIO,0,0
1928,09,FL,FLORIDA,POLIO,0,0
1928,09,GA,GEORGIA,POLIO,0,0
1928,09,IA,IOWA,POLIO,0,0
1928,09,ID,IDAHO,POLIO,1,0.22
1928,09,IL,ILLINOIS,POLIO,1,0.01
1928,09,IN,INDIANA,POLIO,0,0
1928,09,KS,KANSAS,POLIO,0,0
1928,09,KY,KENTUCKY,POLIO,0,0
1928,09,LA,LOUISIANA,POLIO,2,0.1
1928,09,MA,MASSACHUSETTS,POLIO,6,0.14
1928,09,MD,MARYLAND,POLIO,2,0.12
1928,09,ME,MAINE,POLIO,0,0
1928,09,MI,MICHIGAN,POLIO,0,0
1928,09,MN,MINNESOTA,POLIO,0,0
1928,09,MO,MISSOURI,POLIO,0,0
1928,09,MS,MISSISSIPPI,POLIO,2,0.1
1928,09,MT,MONTANA,POLIO,0,0
1928,09,NC,NORTH CAROLINA,POLIO,1,0.03
1928,09,ND,NORTH DAKOTA,POLIO,1,0.15
1928,09,NE,NEBRASKA,POLIO,1,0.07
1928,09,NH,NEW HAMPSHIRE,POLIO,1,0.21
1928,09,NJ,NEW JERSEY,POLIO,0,0
1928,09,NM,NEW MEXICO,POLIO,0,0
1928,09,NY,NEW YORK,POLIO,4,0.03
1928,09,OH,OHIO,POLIO,1,0.02
1928,09,OK,OKLAHOMA,POLIO,1,0.04
1928,09,OR,OREGON,POLIO,3,0.32
1928,09,PA,PENNSYLVANIA,POLIO,2,0.02
1928,09,RI,RHODE ISLAND,POLIO,0,0
1928,09,SC,SOUTH CAROLINA,POLIO,2,0.12
1928,09,SD,SOUTH DAKOTA,POLIO,0,0
1928,09,TN,TENNESSEE,POLIO,0,0
1928,09,TX,TEXAS,POLIO,0,0
1928,09,UT,UTAH,POLIO,0,0
